Word,3singular,Present Participle,Simple Past,Past Participle, isRegular
abandon,abandons,abandoning,abandoned,abandoned,true
abolish,abolishes,abolishing,abolished,abolished,true
absorb,absorbs,absorbing,absorbed,absorbed,true
accelerate,accelerates,accelerating,accelerated,accelerated,true
accept,accepts,accepting,accepted,accepted,true
access,accesses,accessing,accessed,accessed,true
accommodate,accommodates,accommodating,accommodated,accommodated,true
accompany,accompanies,accompanying,accompanied,accompanied,true
account,accounts,accounting,accounted,accounted,true
accumulate,accumulates,accumulating,accumulated,accumulated,true
accuse,accuses,accusing,accused,accused,true
achieve,achieves,achieving,achieved,achieved,true
acknowledge,acknowledges,acknowledging,acknowledged,acknowledged,true
acquire,acquires,acquiring,acquired,acquired,true
act,acts,acting,acted,acted,true
adapt,adapts,adapting,adapted,adapted,true
add,adds,adding,added,added,true
address,addresses,addressing,addressed,addressed,true
adhere,adheres,adhering,adhered,adhered,true
adjust,adjusts,adjusting,adjusted,adjusted,true
administer,administers,administering,administered,administered,true
admire,admires,admiring,admired,admired,true
admit,admits,admitting,admitted,admitted,true
adopt,adopts,adopting,adopted,adopted,true
advance,advances,advancing,advanced,advanced,true
advertise,advertises,advertising,advertised,advertised,true
advise,advises,advising,advised,advised,true
affect,affects,affecting,affected,affected,true
afford,affords,affording,afforded,afforded,true
agree,agrees,agreeing,agreed,agreed,true
aid,aids,aiding,aided,aided,true
aim,aims,aiming,aimed,aimed,true
alert,alerts,alerting,alerted,alerted,true
alleviate,alleviates,alleviating,alleviated,alleviated,true
allocate,allocates,allocating,allocated,allocated,true
allow,allows,allowing,allowed,allowed,true
alter,alters,altering,altered,altered,true
amend,amends,amending,amended,amended,true
amount,amounts,amounting,amounted,amounted,true
analyse,analyses,analysing,analysed,analysed,true
anger,angers,angering,angered,angered,true
announce,announces,announcing,announced,announced,true
answer,answers,answering,answered,answered,true
anticipate,anticipates,anticipating,anticipated,anticipated,true
apologise,apologises,apologising,apologised,apologised,true
appeal,appeals,appealing,appealed,appealed,true
appear,appears,appearing,appeared,appeared,true
apply,applies,applying,applied,applied,true
appoint,appoints,appointing,appointed,appointed,true
appreciate,appreciates,appreciating,appreciated,appreciated,true
approach,approaches,approaching,approached,approached,true
approve,approves,approving,approved,approved,true
argue,argues,arguing,argued,argued,true
arise,arises,arising,arose,arisen,false
arrange,arranges,arranging,arranged,arranged,true
arrest,arrests,arresting,arrested,arrested,true
arrive,arrives,arriving,arrived,arrived,true
ascertain,ascertains,ascertaining,ascertained,ascertained,true
ask,asks,asking,asked,asked,true
assemble,assembles,assembling,assembled,assembled,true
assert,asserts,asserting,asserted,asserted,true
assess,assesses,assessing,assessed,assessed,true
assign,assigns,assigning,assigned,assigned,true
assist,assists,assisting,assisted,assisted,true
associate,associates,associating,associated,associated,true
assume,assumes,assuming,assumed,assumed,true
assure,assures,assuring,assured,assured,true
attach,attaches,attaching,attached,attached,true
attack,attacks,attacking,attacked,attacked,true
attain,attains,attaining,attained,attained,true
attempt,attempts,attempting,attempted,attempted,true
attend,attends,attending,attended,attended,true
attract,attracts,attracting,attracted,attracted,true
attribute,attributes,attributing,attributed,attributed,true
avoid,avoids,avoiding,avoided,avoided,true
await,awaits,awaiting,awaited,awaited,true
award,awards,awarding,awarded,awarded,true
back,backs,backing,backed,backed,true
bake,bakes,baking,baked,baked,true
balance,balances,balancing,balanced,balanced,true
ban,bans,banning,banned,banned,true
bang,bangs,banging,banged,banged,true
base,bases,basing,based,based,true
bear,bears,bearing,beared,beared,true
beat,beats,beating,beat,beaten,false
become,becomes,becoming,became,become,false
beg,begs,begging,begged,begged,true
begin,begins,beginning,began,begun,false
behave,behaves,behaving,behaved,behaved,true
believe,believes,believing,believed,believed,true
belong,belongs,belonging,belonged,belonged,true
bend,bends,bending,bent,bent,false
benefit,benefits,benefiting,benefited,benefited,true
bet,bets,betting,bet,bet,false
bid,bids,bidding,bid,bid,false
bind,binds,binding,bound,bound,false
bite,bites,biting,bit,bitten,false
blame,blames,blaming,blamed,blamed,true
blend,blends,blending,blended,blended,true
bless,blesses,blessing,blest,blest,false
block,blocks,blocking,blocked,blocked,true
blow,blows,blowing,blew,blown,false
board,boards,boarding,boarded,boarded,true
boil,boils,boiling,boiled,boiled,true
book,books,booking,booked,booked,true
boost,boosts,boosting,boosted,boosted,true
borrow,borrows,borrowing,borrowed,borrowed,true
bother,bothers,bothering,bothered,bothered,true
bounce,bounces,bouncing,bounced,bounced,true
break,breaks,breaking,broke,broken,false
breathe,breathes,breathing,breathed,breathed,true
